id,label,type,title,tags,score,recommendation,evidence_level
source::https_illimistx.com_en_sub_platform%26pipeline_conference.php,Illimis Therapeutics conference presentations,source,Source__Illimis_Therapeutics_conference_presentations,pipeline/source;source/official_company_conference_page,,,E3
source::https_illimistx.com_data_aaic%202025_abstract_illimistx.pdf,AAIC 2025 GAIA-Aβ abstract,source,Source__AAIC_2025_GAIA-Aβ_abstract,pipeline/source;source/conference_abstract,,,E3
source::https_www.nature.com_articles_s41591-022-01926-9,Anti-inflammatory clearance of amyloid-β by a chimeric Gas6 fusion protein,source,Source__Anti-inflammatory_clearance_of_amyloid-β_by_a_chimeric_Gas6_fusion_protein,pipeline/source;source/peer_reviewed_publication,,,E3
source::https_www.biospectator.com_news_view_28887,BioSpectator interview on ILM01 preclinical program and planned 2027 clinical entry,source,Source__BioSpectator_interview_on_ILM01_preclinical_program_and_planned_2027_cl_e077b90f,pipeline/source;source/biotech_news,,,E3
source::https_www.fda.gov_news-events_press-announcements_fda-converts-novel-al_2dfaf7af,https://www.fda.gov/news-events/press-announcements/fda-converts-novel-alzheimers-disease-treatment-traditional-approval,source,Source__https_www.fda.gov_news-events_press-announcements_fda-converts-novel-al_2dfaf7af,pipeline/source;source/regulatory,,,E3
source::https_www.fda.gov_drugs_news-events-human-drugs_fda-approves-treatment-_abbc72bc,https://www.fda.gov/drugs/news-events-human-drugs/fda-approves-treatment-adults-alzheimers-disease,source,Source__https_www.fda.gov_drugs_news-events-human-drugs_fda-approves-treatment-_abbc72bc,pipeline/source;source/regulatory,,,E3
source::https_trials.lilly.com_en-us_trial_548297,Lilly TRAILRUNNER-ALZ 3 remternetug trial,source,Source__Lilly_TRAILRUNNER-ALZ_3_remternetug_trial,pipeline/source;source/clinical_registry_sponsor,,,E3
source::https_clinicaltrials.gov_study_nct07169578,ClinicalTrials.gov trontinemab Phase 3 study NCT07169578,source,Source__ClinicalTrials.gov_trontinemab_Phase_3_study_NCT07169578,pipeline/source;source/clinical_registry,,,E3
source::https_acumenpharm.com_altitude-ad,Acumen ALTITUDE-AD sabirnetug study,source,Source__Acumen_ALTITUDE-AD_sabirnetug_study,pipeline/source;source/official_company_trial_page,,,E3
source::https_alz-journals.onlinelibrary.wiley.com_doi_10.1002_trc2.70251,Alzheimer's disease drug development pipeline: 2026,source,Source__Alzheimer's_disease_drug_development_pipeline_2026,pipeline/source;source/peer_reviewed_review,,,E3
source::https_alz-journals.onlinelibrary.wiley.com_doi_10.1002_dad2.12497,Estimating prevalence of early symptomatic Alzheimer's disease in the United States,source,Source__Estimating_prevalence_of_early_symptomatic_Alzheimer's_disease_in_the_U_65d8288f,pipeline/source;source/peer_reviewed_epidemiology,,,E3
source::https_www.eisai.com_news_2023_news202302.html,https://www.eisai.com/news/2023/news202302.html,source,Source__https_www.eisai.com_news_2023_news202302.html,pipeline/source;source/other,,,E3
source::https_investor.lilly.com_news-releases_news-release-details_lillys-kisu_5dbfd133,Lilly Kisunla approval and limited-duration treatment cost,source,Source__Lilly_Kisunla_approval_and_limited-duration_treatment_cost,pipeline/source;source/official_company_pricing,,,E3
source::https_www.alz.org_getmedia_ef8f48f9-ad36-48ea-87f9-b74034635c1e_alzheim_55918ed3,2026 Alzheimer's Disease Facts and Figures,source,Source__2026_Alzheimer's_Disease_Facts_and_Figures,pipeline/source;source/epidemiology_report,,,E3
asset::wt-1108,WT-1108,asset,Asset__WT-1108,pipeline/asset;theme/no_theme,8,Watch,E2
"company::hangzhou_westan_pharmaceutical_technology_co.,_ltd","Hangzhou Westan Pharmaceutical Technology Co., Ltd.",company,"Company__Hangzhou_Westan_Pharmaceutical_Technology_Co.,_Ltd",pipeline/company,,,
target::p2x3_receptor_p2rx3,P2X3 receptor / P2RX3,target,Target__P2X3_receptor_P2RX3,pipeline/target,,,
moa::selective_p2x3_receptor_antagonism_intended_to_reduce_atp-mediated_airw_a0f471fe,Selective P2X3 receptor antagonism intended to reduce ATP-mediated airway sensory nerve activation and cough hypersensitivity.,moa,MoA__Selective_P2X3_receptor_antagonism_intended_to_reduce_ATP-mediated_airw_a0f471fe,pipeline/moa,,,
modality::oral_small_molecule_tablet;_reportedly_developed_using_westanai+_and_pr_1de450e9,Oral small molecule tablet; reportedly developed using WestanAI+ and proprietary compound library.,modality,Modality__Oral_small_molecule_tablet;_reportedly_developed_using_WestanAI+_and_pr_1de450e9,pipeline/modality,,,
indication::refractory_or_unexplained_chronic_cough_(rcc_ucc),Refractory or unexplained chronic cough (RCC/UCC),indication,Indication__Refractory_or_unexplained_chronic_cough_(RCC_UCC),pipeline/indication,,,
theme::no_theme,No Theme,theme,Theme__No_Theme,skbp/theme,,,
cluster::no_mapped_skbp_cluster,No mapped SKBP cluster,cluster,Cluster__No_mapped_SKBP_cluster,skbp/cluster,,,
scorecard::wt-1108_20260621,Scorecard - WT-1108,scorecard,Scorecard__WT-1108__20260621,pipeline/scorecard,8,Watch,E2
competitor::merck_&_co._msd_gefapixant_lyfnua,Gefapixant / Lyfnua,competitor,Competitor__Merck_&_Co._MSD__Gefapixant_Lyfnua,pipeline/competitor,,,
competitor::gsk_bellus_health_camlipixant_blu-5937,Camlipixant / BLU-5937,competitor,Competitor__GSK_BELLUS_Health__Camlipixant_BLU-5937,pipeline/competitor,,,
competitor::shionogi_sivopixant_s-600918,Sivopixant / S-600918,competitor,Competitor__Shionogi__Sivopixant_S-600918,pipeline/competitor,,,
competitor::jiangsu_hengrui_guangdong_hengrui_hrs-2261,HRS-2261,competitor,Competitor__Jiangsu_Hengrui_Guangdong_Hengrui__HRS-2261,pipeline/competitor,,,
competitor::hansoh_pharma_hs-10383,HS-10383,competitor,Competitor__Hansoh_Pharma__HS-10383,pipeline/competitor,,,
competitor::createrna_langlai_technology_qr052107b_relicpixant,QR052107B / relicpixant,competitor,Competitor__Createrna_Langlai_Technology__QR052107B_relicpixant,pipeline/competitor,,,
source::https_westanpharma.com_products.aspx,Westan products page,source,Source__Westan_products_page,pipeline/source;source/other,,,E2
source::https_www.changbaicao.cn_trialsdetail-id-20793.html,Changbaicao CTR20254063 trial page,source,Source__Changbaicao_CTR20254063_trial_page,pipeline/source;source/clinical_trial_registry,,,E2
source::https_synapse.patsnap.com_drug_0b28edb3230146bca084e523c94678b2,Synapse WT-1108,source,Source__Synapse_WT-1108,pipeline/source;source/other,,,E0
source::https_pubmed.ncbi.nlm.nih.gov_35248186,Lancet COUGH-1/COUGH-2 PubMed record,source,Source__Lancet_COUGH-1_COUGH-2_PubMed_record,pipeline/source;source/publication,,,E2
source::https_www.gsk.com_en-gb_media_press-releases_gsk-reaches-agreement-to-a_c4beb605,GSK/BELLUS acquisition press release,source,Source__GSK_BELLUS_acquisition_press_release,pipeline/source;source/news,,,E2
source::https_www.bioduro-sundia.cn_company-news_westanpharma-ind-approval-p2x3.html,BioDuro-Sundia/PharmCube WT-1108 IND article,source,Source__BioDuro-Sundia_PharmCube_WT-1108_IND_article,pipeline/source;source/news,,,E2
source::https_www.delveinsight.com_report-store_chronic-refractory-cough-market,DelveInsight chronic refractory cough market page,source,Source__DelveInsight_chronic_refractory_cough_market_page,pipeline/source;source/market,,,E2
source::https_www.westanpharma.com,Westan official site,source,Source__Westan_official_site,pipeline/source;source/official_company,,,E2
source::https_www.ema.europa.eu_en_medicines_human_epar_lyfnua,Gefapixant / Lyfnua source,source,Source__Gefapixant_Lyfnua_source,pipeline/source;source/other,,,E2
source::https_link.springer.com_article_10.1007_s00408-022-00592-5,Sivopixant / S-600918 source,source,Source__Sivopixant_S-600918_source,pipeline/source;source/other,,,E2
source::https_pubmed.ncbi.nlm.nih.gov_38198010,HRS-2261 source,source,Source__HRS-2261_source,pipeline/source;source/other,,,E2
source::https_www.hspharm.com_news_news-detail-513247.htm,HS-10383 source,source,Source__HS-10383_source,pipeline/source;source/other,,,E2
source::https_www.prnewswire.com_news-releases_createrna-announces-positive-top_fc58721f,QR052107B / relicpixant source,source,Source__QR052107B_relicpixant_source,pipeline/source;source/other,,,E2
source::https_www.hra.nhs.uk_planning-and-improving-research_application-summar_0bed49ad,HRA gefapixant mechanism summary,source,Source__HRA_gefapixant_mechanism_summary,pipeline/source;source/clinical_trial_registry,,,E2
source::https_www.merck.com_news_merck-receives-positive-european-union-chmp-op_29185acb,Merck CHMP press release,source,Source__Merck_CHMP_press_release,pipeline/source;source/news,,,E2
source::https_www.merck.com_news_merck-provides-u-s-and-japan-regulatory-update_5ebeacc7,Merck Japan regulatory update,source,Source__Merck_Japan_regulatory_update,pipeline/source;source/news,,,E2
source::https_link.springer.com_article_10.1007_s00408-022-00553-y,Gefapixant pooled Phase 3 analysis,source,Source__Gefapixant_pooled_Phase_3_analysis,pipeline/source;source/publication,,,E2
source::https_pubmed.ncbi.nlm.nih.gov_40043302,Camlipixant Phase 2b PubMed,source,Source__Camlipixant_Phase_2b_PubMed,pipeline/source;source/publication,,,E2
source::https_bydrug.pharmcube.com_investgo_company_detail_1b0943a3d0a44519a9d5_4e2ff7d3,ByDrug Westan profile,source,Source__ByDrug_Westan_profile,pipeline/source;source/other,,,E2
source::https_www.zhihuiya.com_news_info_2271.html,Zhihuiya WT-1108 news,source,Source__Zhihuiya_WT-1108_news,pipeline/source;source/news,,,E2
source::https_westanpharma.com_aboutus.aspx,Westan about page,source,Source__Westan_about_page,pipeline/source;source/official_company,,,E2
source::https_finance.sina.com.cn_stock_aigc_ywsygs_2025-10-11_doc-inftnueu7432084.shtml,Sina WT-1108 Phase IIa news,source,Source__Sina_WT-1108_Phase_IIa_news,pipeline/source;source/news,,,E2
asset::ux-ep001_uxep-001,UX-EP001 / UXEP-001,asset,Asset__UX-EP001_UXEP-001,pipeline/asset;theme/e_i_balance,5,Deprioritize,E1
"company::shanghai_unixell_biotechnology_co.,_ltd","Shanghai UniXell Biotechnology Co., Ltd.",company,"Company__Shanghai_UniXell_Biotechnology_Co.,_Ltd",pipeline/company,,,
target::undisclosed,undisclosed,target,Target__undisclosed,pipeline/target,,,
"moa::undisclosed_for_ux-ep001._if_confused_with_ux-gip001,_the_moa_would_be_cf2be7de","Undisclosed for UX-EP001. If confused with UX-GIP001, the MoA would be iPSC-derived GABAergic interneuron progenitor replacement to restore inhibitory neural circuitry, but this cannot be assumed without company confirmation.",moa,"MoA__Undisclosed_for_UX-EP001._If_confused_with_UX-GIP001,_the_MoA_would_be_cf2be7de",pipeline/moa,,,
"modality::synapse_lists_tcr-t_cell_therapy_for_ux-ep001,_but_this_is_not_corrobor_f837809e","Synapse lists TCR-T Cell therapy for UX-EP001, but this is not corroborated by official UniXell sources. Company platform is hPSC/iPSC-derived neural cell therapy based on reprogramming, differentiation, SISBAR lineage tracing and gene editing.",modality,"Modality__Synapse_lists_TCR-T_Cell_therapy_for_UX-EP001,_but_this_is_not_corrobor_f837809e",pipeline/modality,,,
indication::epilepsy,Epilepsy,indication,Indication__Epilepsy,pipeline/indication,,,
theme::e_i_balance,E/I Balance,theme,Theme__E-I_Balance,skbp/theme,,,
cluster::network_modulation,Network Modulation,cluster,Cluster__Network_Modulation,skbp/cluster,,,
scorecard::ux-ep001_uxep-001_20260621,Scorecard - UX-EP001 / UXEP-001,scorecard,Scorecard__UX-EP001_UXEP-001__20260621,pipeline/scorecard,5,Deprioritize,E1
competitor::neurona_therapeutics_ucb_nrtx-1001_rezanecel,NRTX-1001 / rezanecel,competitor,Competitor__Neurona_Therapeutics_UCB__NRTX-1001_rezanecel,pipeline/competitor,,,
competitor::unixell_biotech_ux-gip001,UX-GIP001,competitor,Competitor__UniXell_Biotech__UX-GIP001,pipeline/competitor,,,
competitor::encoded_therapeutics_etx101,ETX101,competitor,Competitor__Encoded_Therapeutics__ETX101,pipeline/competitor,,,
competitor::stoke_therapeutics_biogen_zorevunersen_stk-001,Zorevunersen / STK-001,competitor,Competitor__Stoke_Therapeutics_Biogen__Zorevunersen_STK-001,pipeline/competitor,,,
source::https_synapse.patsnap.com_drug_0f29bad183a3471187fd29db65e62bd7,Synapse UX-EP001 asset page,source,Source__Synapse_UX-EP001_asset_page,pipeline/source;source/other,,,E1
source::https_www.unixell.com_en_technologyplatformsandproductpipelines_index.aspx,UniXell Technology Platform and R&D pipeline,source,Source__UniXell_Technology_Platform_and_R&D_pipeline,pipeline/source;source/official_company,,,E1
source::https_www.unixell.com_en_companynews_info.aspx_itemid=307,UniXell UX-GIP001 IND news,source,Source__UniXell_UX-GIP001_IND_news,pipeline/source;source/official_company,,,E1
source::https_www.biospace.com_press-releases_unixell-biotech-receives-ind-clea_1d38ec1e,BioSpace / PRNewswire UX-GIP001 FDA IND clearance,source,Source__BioSpace_PRNewswire_UX-GIP001_FDA_IND_clearance,pipeline/source;source/news,,,E1
source::https_www.ucb.com_newsroom_press-releases_article_ucb-to-acquire-neuron_5495d099,UCB acquisition of Neurona,source,Source__UCB_acquisition_of_Neurona,pipeline/source;source/news,,,E1
source::https_www.unixell.com_en_index.aspx,UniXell official website,source,Source__UniXell_official_website,pipeline/source;source/official_company,,,E1
source::https_www.unixell.com_en_aboutthejump_index.aspx,UniXell About page,source,Source__UniXell_About_page,pipeline/source;source/official_company,,,E1
source::https_encoded.com_programs_etx101-for-dravet-syndrome,ETX101 source,source,Source__ETX101_source,pipeline/source;source/other,,,E1
source::https_pubmed.ncbi.nlm.nih.gov_41780062,Zorevunersen / STK-001 source,source,Source__Zorevunersen_STK-001_source,pipeline/source;source/other,,,E1
source::https_www.neuronatherapeutics.com_nte001,Neurona NTE001 study page,source,Source__Neurona_NTE001_study_page,pipeline/source;source/clinical_trial_registry,,,E1
source::https_www.cell.com_cell-stem-cell_fulltext_s1934-5909%2823%2900044-9,SISBAR Cell Stem Cell paper,source,Source__SISBAR_Cell_Stem_Cell_paper,pipeline/source;source/publication,,,E1
source::https_www.cell.com_cell-stem-cell_abstract_s1934-5909%2825%2900369-8,SphereDiff Cell Stem Cell paper,source,Source__SphereDiff_Cell_Stem_Cell_paper,pipeline/source;source/publication,,,E1
source::https_www.innostarbio.com_en_news_693.html,InnoStar UX-GIP001 FDA IND support,source,Source__InnoStar_UX-GIP001_FDA_IND_support,pipeline/source;source/news,,,E1
asset::lnk01006_blkr201,LNK01006 / BLKR201,asset,Asset__LNK01006_BLKR201,pipeline/asset;theme/neuroimmune,14,Shortlist,E3
"company::lynk_pharmaceuticals_co.,_ltd","Lynk Pharmaceuticals Co., Ltd.",company,"Company__Lynk_Pharmaceuticals_Co.,_Ltd",pipeline/company,,,
target::tyk2,TYK2,target,Target__TYK2,pipeline/target,,,
moa::oral_allosteric_tyk2_inhibitor_targeting_the_jh2_pseudokinase_regulator_cc811ca3,"Oral allosteric TYK2 inhibitor targeting the JH2 pseudokinase/regulatory domain; designed to inhibit TYK2-mediated IL-12, IL-23 and type I interferon signaling with CNS exposure.",moa,MoA__Oral_allosteric_TYK2_inhibitor_targeting_the_JH2_pseudokinase_regulator_cc811ca3,pipeline/moa,,,
modality::oral_small_molecule;_cns-penetrant_allosteric_tyk2_inhibitor;_developed_458cb9bc,Oral small molecule; CNS-penetrant allosteric TYK2 inhibitor; developed through Lynk medicinal chemistry and Formation/Bleecker clinical development platform.,modality,Modality__Oral_small_molecule;_CNS-penetrant_allosteric_TYK2_inhibitor;_developed_458cb9bc,pipeline/modality,,,
indication::phase_1_healthy-volunteer_study;_intended_development_positioning_inclu_d38001b6,Phase 1 healthy-volunteer study; intended development positioning includes MS and broader CNS/neuroinflammatory or autoimmune/inflammatory diseases.,indication,Indication__Phase_1_healthy-volunteer_study;_intended_development_positioning_inclu_d38001b6,pipeline/indication,,,
cluster::cytokine_신경조절,Cytokine 신경조절,cluster,Cluster__Cytokine_신경조절,skbp/cluster,,,
scorecard::lnk01006_blkr201_20260621,Scorecard - LNK01006 / BLKR201,scorecard,Scorecard__LNK01006_BLKR201__20260621,pipeline/scorecard,14,Shortlist,E3
competitor::neuron23_neu-627,NEU-627,competitor,Competitor__Neuron23__NEU-627,pipeline/competitor,,,
competitor::alumis_a-005,A-005,competitor,Competitor__Alumis__A-005,pipeline/competitor,,,
competitor::bristol_myers_squibb_deucravacitinib_sotyktu,Deucravacitinib / Sotyktu,competitor,Competitor__Bristol_Myers_Squibb__Deucravacitinib_Sotyktu,pipeline/competitor,,,
competitor::takeda_zasocitinib_tak-279,Zasocitinib / TAK-279,competitor,Competitor__Takeda__Zasocitinib_TAK-279,pipeline/competitor,,,
competitor::roche_fenebrutinib,Fenebrutinib,competitor,Competitor__Roche__Fenebrutinib,pipeline/competitor,,,
competitor::sanofi_tolebrutinib,Tolebrutinib,competitor,Competitor__Sanofi__Tolebrutinib,pipeline/competitor,,,
source::https_www.prnewswire.com_apac_news-releases_lynk-pharmaceuticals-announ_9f29a386,Lynk FDA IND announcement,source,Source__Lynk_FDA_IND_announcement,pipeline/source;source/other,,,E3
source::https_www.formation.bio_press_formation-bio-licenses-phase-1-ready-cns-_be31f330,Formation Bio licensing page,source,Source__Formation_Bio_licensing_page,pipeline/source;source/official_company,,,E3
source::https_www.prnewswire.com_news-releases_lynk-pharmaceuticals-and-formati_31aa61aa,Lynk and Formation licensing agreement,source,Source__Lynk_and_Formation_licensing_agreement,pipeline/source;source/news,,,E3
source::https_www.prnewswire.com_news-releases_formation-bio-doses-first-partic_a8856057,Formation first participant dosed,source,Source__Formation_first_participant_dosed,pipeline/source;source/news,,,E3
source::https_clinicaltrials.gov_study_nct07501039,NCT07501039,source,Source__NCT07501039,pipeline/source;source/clinical_trial_registry,,,E0
source::https_synapse.patsnap.com_drug_565a5da0689043fb8f26295eeae190fa,Synapse LNK-01006,source,Source__Synapse_LNK-01006,pipeline/source;source/other,,,E3
source::https_www.lynkpharma.com,Lynk official website,source,Source__Lynk_official_website,pipeline/source;source/official_company,,,E3
source::https_www.pnas.org_doi_10.1073_pnas.2422172122,Central TYK2 inhibition PNAS,source,Source__Central_TYK2_inhibition_PNAS,pipeline/source;source/publication,,,E3
source::https_atlasofms.org,Atlas of MS,source,Source__Atlas_of_MS,pipeline/source;source/market,,,E3
source::https_www.ocrevus.com_patient_cost.html,Ocrevus pricing,source,Source__Ocrevus_pricing,pipeline/source;source/market,,,E3
source::https_neuron23.com_neuron23-announces-publication-in-pnas-highlighting-_98044a46,NEU-627 source,source,Source__NEU-627_source,pipeline/source;source/other,,,E3
source::https_investors.alumis.com_news-releases_news-release-details_alumis-an_5c9ebe89,A-005 source,source,Source__A-005_source,pipeline/source;source/other,,,E3
source::https_news.bms.com_news_details_2022_u.s.-food-and-drug-administration-_19dd85b7,Deucravacitinib / Sotyktu source,source,Source__Deucravacitinib_Sotyktu_source,pipeline/source;source/other,,,E3
source::https_www.takeda.com_newsroom_newsreleases_2026_zasocitinib-outperforms_b6fb7e68,Zasocitinib / TAK-279 source,source,Source__Zasocitinib_TAK-279_source,pipeline/source;source/other,,,E3
source::https_www.roche.com_media_releases_med-cor-2026-04-21c,Fenebrutinib source,source,Source__Fenebrutinib_source,pipeline/source;source/other,,,E3
source::https_www.sanofi.com_en_media-room_press-releases_2025_2025-12-15-06-05_61888b0d,Tolebrutinib source,source,Source__Tolebrutinib_source,pipeline/source;source/other,,,E3
asset::small_molecules_to_antagonize_trpm7,Small Molecules to Antagonize TRPM7,asset,Asset__Small_Molecules_to_Antagonize_TRPM7,pipeline/asset;theme/e_i_balance,11,Watch,E2
company::vivavision_biotech,VivaVision Biotech,company,Company__VivaVision_Biotech,pipeline/company,,,
target::trpm7,TRPM7,target,Target__TRPM7,pipeline/target,,,
moa::trpm7_antagonist_inhibitor;_channel_closed-state_stabilization_is_suppo_2a2e465e,"TRPM7 antagonist / inhibitor; channel closed-state stabilization is supported at target level for some tool compounds, but asset-level MoA is unverified",moa,MoA__TRPM7_antagonist_inhibitor;_channel_closed-state_stabilization_is_suppo_2a2e465e,pipeline/moa,,,
modality::small_molecule;_exact_compound_and_platform_undisclosed,Small molecule; exact compound and platform undisclosed,modality,Modality__Small_molecule;_exact_compound_and_platform_undisclosed,pipeline/modality,,,
"indication::market-source_description_includes_oncology,_ophthalmology,_cardiovascu_6b2c47da","Market-source description includes oncology, ophthalmology, cardiovascular and CNS disorders; SKBP-relevant CNS hypotheses include acute ischemic stroke and status epilepticus",indication,"Indication__Market-source_description_includes_oncology,_ophthalmology,_cardiovascu_6b2c47da",pipeline/indication,,,
cluster::ion_channel,Ion Channel,cluster,Cluster__Ion_Channel,skbp/cluster,,,
scorecard::small_molecules_to_antagonize_trpm7_20260622,Scorecard - Small Molecules to Antagonize TRPM7,scorecard,Scorecard__Small_Molecules_to_Antagonize_TRPM7__20260622,pipeline/scorecard,11,Watch,E2
competitor::vivavision_biotech_small_molecules_to_antagonize_trpm7,Small Molecules to Antagonize TRPM7,competitor,Competitor__VivaVision_Biotech__Small_Molecules_to_Antagonize_TRPM7,pipeline/competitor,,,
competitor::academic_research_tool_cct128930,CCT128930,competitor,Competitor__Academic_research_tool__CCT128930,pipeline/competitor,,,
competitor::academic_ns8593_sduy-225,NS8593 / SDUY-225,competitor,Competitor__Academic__NS8593_SDUY-225,pipeline/competitor,,,
competitor::academic_university_research_vpc01091.4_vpc4,VPC01091.4 / VPC4,competitor,Competitor__Academic_University_research__VPC01091.4_VPC4,pipeline/competitor,,,
competitor::university_of_hawaii_system_academic_natural_product_research_waixenicin_a,Waixenicin A,competitor,Competitor__University_of_Hawaii_System_academic_natural_product_research__Waixenicin_A,pipeline/competitor,,,
competitor::vivavision_biotech_vvn539,VVN539,competitor,Competitor__VivaVision_Biotech__VVN539,pipeline/competitor,,,
competitor::genentech_roche_and_others;_device_procedure_ecosystem_alteplase_tenect_30f72285,Alteplase / Tenecteplase / Mechanical thrombectomy,competitor,Competitor__Genentech_Roche_and_others;_device_procedure_ecosystem__Alteplase_Tenecteplase_Mechanical_thrombectomy,pipeline/competitor,,,
source::https_www.vivabioinnovator.com_portfolio_viva-vision,Viva BioInnovator portfolio: Viva Vision,source,Source__Viva_BioInnovator_portfolio_Viva_Vision,pipeline/source;source/other,,,E2
source::https_www.vivabiotech.com_news_789.html,VivaVision Series D2 financing and pipeline summary,source,Source__VivaVision_Series_D2_financing_and_pipeline_summary,pipeline/source;source/official_company,,,E2
source::https_www.marketresearch.com_global-markets-direct-v3480_glaucoma-drugs_f451f4c7,MarketResearch/GlobalData glaucoma pipeline report,source,Source__MarketResearch_GlobalData_glaucoma_pipeline_report,pipeline/source;source/market,,,E2
source::https_www.marketresearch.com_global-markets-direct-v3480_stroke-drugs-d_51a7d3b9,MarketResearch/GlobalData stroke pipeline report,source,Source__MarketResearch_GlobalData_stroke_pipeline_report,pipeline/source;source/market,,,E2
source::https_www.ncbi.nlm.nih.gov_gene_54822,NCBI Gene TRPM7,source,Source__NCBI_Gene_TRPM7,pipeline/source;source/other,,,E2
source::https_www.nature.com_articles_s41467-023-38362-3,Structural mechanisms of TRPM7 activation and inhibition,source,Source__Structural_mechanisms_of_TRPM7_activation_and_inhibition,pipeline/source;source/publication,,,E2
source::https_link.springer.com_article_10.1186_s12974-024-03292-4,TRPM7 contributes to pyroptosis and status epilepticus,source,Source__TRPM7_contributes_to_pyroptosis_and_status_epilepticus,pipeline/source;source/publication,,,E2
source::https_www.vivavisionbio.com_en,VivaVision official website,source,Source__VivaVision_official_website,pipeline/source;source/official_company,,,E2
source::https_www.vivabioinnovator.com_news_vvn539-a-dual-target-innovative-dru_6bd2c1f0,VVN539 Phase II announcement,source,Source__VVN539_Phase_II_announcement,pipeline/source;source/official_company,,,E2
source::https_pubmed.ncbi.nlm.nih.gov_38192683,VVN539 Phase 2 publication,source,Source__VVN539_Phase_2_publication,pipeline/source;source/publication,,,E2
source::https_patents.google.com_patent_cn118340775a_en,VVN539 patent,source,Source__VVN539_patent,pipeline/source;source/other,,,E2
source::https_rupress.org_jgp_article_156_1_e202313419_276399_analogs-of-fty720_995336bc,JGP FTY720 analogs inhibit TRPM7,source,Source__JGP_FTY720_analogs_inhibit_TRPM7,pipeline/source;source/publication,,,E2
source::https_pubmed.ncbi.nlm.nih.gov_37433006,Science Signaling TRPM7 kinase activity and amyloid-beta degradation,source,Source__Science_Signaling_TRPM7_kinase_activity_and_amyloid-beta_degradation,pipeline/source;source/publication,,,E2
